evid year month day hour minutes seconds latitude longitude depth mag #pairs #difftimes ex ey ez et rms_phase rms_xcor loc_code
0000000033 2020 8 7 12 47 18.250 36.45440 -81.09211 14.278 NM 2 8 608.27 651.23 0.00 157.443 0.000 0.427 3
0000000038 2020 8 7 20 45 33.706 37.38947 -81.41000 0.021 NM 4 24 559.68 473.82 17.15 342.046 0.000 9.000 3
0000000039 2020 8 7 23 6 47.797 36.48901 -81.18600 0.997 NM 5 20 680.64 711.26 0.00 288.977 0.000 0.414 3
0000000053 2020 8 8 12 35 22.492 36.45823 -81.10140 13.924 1.51 55 293 217.92 357.75 668.19 28.733 0.000 2.675 3
0000000054 2020 8 8 12 37 5.341 36.45220 -81.08848 11.528 1.64 2 8 709.28 808.39 154.69 131.595 0.000 0.209 3
0000000055 2020 8 8 12 38 36.798 36.45017 -81.08813 12.778 1.15 2 8 563.27 800.56 378.22 43.563 0.000 0.205 3
0000000057 2020 8 8 13 21 58.517 36.47808 -81.10750 6.091 0.62 18 125 521.09 497.62 677.54 93.398 0.000 4.936 3
0000000064 2020 8 8 19 16 56.828 36.48992 -81.12515 6.997 NM 10 57 483.12 532.45 394.97 73.710 0.000 4.756 3
0000000066 2020 8 8 20 42 30.001 36.48141 -81.10738 0.974 1.83 73 466 162.56 151.89 1.60 36.525 0.000 2.560 3
0000000067 2020 8 8 23 49 4.222 36.49123 -81.09209 11.134 NM 4 23 642.57 597.16 891.57 176.346 0.000 0.459 3
0000000068 2020 8 9 0 23 1.792 36.44168 -81.08850 14.512 NM 6 24 741.26 811.70 111.62 93.646 0.000 0.391 3
0000000070 2020 8 9 0 33 51.795 36.46199 -81.11476 7.483 NM 12 70 418.03 549.59 725.58 122.507 0.000 0.882 3
0000000072 2020 8 9 4 43 39.173 36.48001 -81.10355 5.996 1.76 90 896 168.06 192.72 297.85 30.277 0.000 2.873 3
0000000073 2020 8 9 5 57 15.553 36.46945 -81.10855 8.987 3.13 102 1262 153.28 131.81 0.44 12.474 0.000 6.882 3
0000000074 2020 8 9 6 2 15.099 36.47806 -81.10341 14.996 1.96 74 511 80.68 148.30 0.59 11.772 0.000 2.979 3
0000000076 2020 8 9 6 6 54.926 36.47108 -81.10732 0.977 1.99 93 939 163.31 156.59 3.12 50.310 0.000 2.116 3
0000000078 2020 8 9 8 47 3.106 36.49108 -81.09957 0.913 NM 7 33 827.20 300.77 38.99 940.773 0.000 0.801 3
0000000080 2020 8 9 11 40 7.246 36.50306 -81.00659 0.985 NM 2 8 887.93 869.73 309.40 987.542 0.000 0.723 3
0000000083 2020 8 9 12 7 36.685 36.45864 -81.13890 19.130 5.10 71 894 29.47 173.06 0.00 46.243 0.000 9.000 3
0000000102 2020 8 9 12 28 1.293 36.46461 -81.08965 2.382 0.97 11 65 619.34 825.53 893.99 103.017 0.000 0.787 3
0000000103 2020 8 9 12 31 34.961 36.47625 -81.14188 11.747 NM 2 9 830.83 781.23 797.10 141.388 0.000 0.655 3
0000000105 2020 8 9 13 32 28.167 36.46975 -81.09023 4.997 1.02 13 85 703.33 378.81 18.46 110.867 0.000 0.836 3
0000000106 2020 8 9 14 13 28.204 36.48651 -81.13184 -1.003 NM 2 9 845.19 789.55 25.37 432.354 0.000 0.529 3
0000000107 2020 8 9 15 45 56.179 36.50280 -81.12318 1.244 1.80 52 296 197.89 253.03 465.49 44.594 0.000 0.418 3
0000000109 2020 8 9 15 58 34.431 36.46754 -81.06071 6.234 1.72 67 431 321.58 293.14 0.00 67.495 0.000 0.440 3
0000000110 2020 8 9 17 4 23.076 36.48189 -81.12154 0.997 NM 2 8 817.63 853.38 402.69 382.245 0.000 0.643 3
0000000111 2020 8 9 17 14 31.370 36.47858 -81.09185 9.997 NM 16 92 275.06 574.27 599.35 109.250 0.000 4.000 3
0000000222 2020 8 10 0 58 47.976 36.47401 -81.09675 9.600 1.23 17 113 564.61 669.23 837.09 86.857 0.000 4.194 3
0000000360 2020 8 10 5 47 17.884 36.45674 -81.12128 12.386 1.12 8 40 428.39 736.30 915.62 109.951 0.000 0.784 3
0000000362 2020 8 10 8 21 0.976 36.47802 -81.12714 12.749 1.10 4 27 483.87 690.94 609.54 109.489 0.000 0.713 3
0000000363 2020 8 10 8 43 5.905 36.46456 -81.12102 11.020 2.15 83 941 177.64 278.17 5.63 42.409 0.000 6.122 3
0000000364 2020 8 10 8 44 37.850 36.44613 -81.08997 11.996 NM 3 20 867.26 968.43 899.82 219.492 0.000 0.938 3
0000000365 2020 8 10 9 40 41.465 36.46518 -81.10687 14.020 NM 7 42 640.37 742.68 414.78 112.863 0.000 5.417 3
0000000366 2020 8 10 10 9 13.699 36.45845 -81.10947 12.997 1.41 12 101 740.16 631.61 489.18 73.315 0.000 8.135 3
0000000367 2020 8 10 11 10 3.097 36.45605 -81.13268 0.973 2.21 78 774 73.02 138.01 3.16 59.086 0.000 4.168 3
0000000372 2020 8 10 14 20 49.326 36.39833 -81.06639 22.057 NM 2 16 545.42 732.20 814.63 174.499 0.000 9.000 3
0000000384 2020 8 10 21 33 37.753 36.49211 -81.11194 9.997 1.89 71 519 237.92 208.11 224.71 43.225 0.000 1.731 3
0000000515 2020 8 11 6 11 46.042 36.47866 -81.09476 0.760 0.91 338 1324 0.43 0.27 2.59 27.003 0.000 0.270 3
0000000577 2020 8 11 9 13 54.544 36.49825 -81.07548 0.984 1.57 5 25 534.47 414.17 6.26 116.395 0.000 0.355 3
0000000607 2020 8 11 10 50 16.784 36.47537 -81.08744 2.390 2.22 416 2361 49.27 190.06 64.00 10.183 0.000 1.744 3
0000000672 2020 8 11 20 45 26.157 36.48052 -81.08884 1.673 3.00 113 1309 66.54 123.42 37.71 15.301 0.000 6.618 3
0000000711 2020 8 12 0 20 0.430 36.49994 -81.08464 1.758 2.15 427 2646 18.56 60.57 63.72 7.138 0.000 1.928 3
0000000725 2020 8 12 1 33 56.742 36.51015 -81.08852 0.660 NM 364 1899 22.42 21.34 2.40 25.827 0.000 0.248 3
0000000745 2020 8 12 3 4 18.884 36.47343 -81.09090 0.813 0.97 338 1376 35.24 40.54 3.38 34.538 0.000 0.271 3
0000000748 2020 8 12 3 9 11.704 36.47296 -81.10879 2.598 NM 336 1368 19.68 69.73 31.29 6.069 0.000 0.263 3
0000000763 2020 8 12 3 30 6.971 36.48559 -81.10572 1.661 -1.23 338 1376 27.27 100.52 47.67 4.684 0.000 0.271 3
0000000788 2020 8 12 5 37 26.000 36.50155 -81.10517 0.922 NM 336 1368 50.82 48.08 8.06 79.569 0.000 0.267 3
0000000796 2020 8 12 6 4 51.279 36.46951 -81.09438 0.374 NM 338 1376 42.52 45.00 3.86 40.793 0.000 0.292 3
0000000800 2020 8 12 6 11 44.956 36.49478 -81.07877 0.976 1.45 439 2784 14.79 35.65 0.81 10.286 0.000 1.126 3
0000000827 2020 8 12 7 45 22.108 36.49123 -81.08614 2.761 0.40 370 1942 14.07 56.34 24.83 8.047 0.000 0.238 3
0000000831 2020 8 12 8 9 27.507 36.51746 -81.10365 0.960 1.18 382 2077 15.72 28.54 1.25 12.756 0.000 0.261 3
0000000835 2020 8 12 8 21 5.700 36.52617 -81.11810 0.809 0.25 354 1630 20.47 24.82 1.44 16.038 0.000 0.246 3
0000000844 2020 8 12 8 52 35.840 36.56108 -81.01053 0.355 -0.41 350 1521 173.40 0.00 1.45 11.082 0.000 0.271 3
0000000870 2020 8 12 12 52 24.414 36.49481 -81.07864 0.918 NM 338 1376 36.63 40.91 0.63 7.606 0.000 0.270 3
0000000885 2020 8 12 16 14 47.998 36.47202 -81.09646 0.941 0.51 367 1925 14.75 16.02 5.78 61.174 0.000 0.244 3
0000000902 2020 8 12 20 20 46.365 36.49810 -81.10297 1.376 -0.39 6 24 593.49 678.53 400.48 1126.657 0.000 0.902 3
0000000903 2020 8 12 20 24 43.727 37.85968 -82.07416 16.559 NM 8 32 592.34 396.54 17.38 163.658 0.000 2.635 3
0000000914 2020 8 12 23 52 50.295 36.48616 -81.04881 -0.689 NM 4 16 543.22 565.64 301.83 2961.898 0.000 0.720 3
