evid year month day hour minutes seconds latitude longitude depth mag #pairs #difftimes ex ey ez et rms_phase rms_xcor loc_code
0000000033 2020 8 7 12 47 19.289 36.46549 -81.07816 14.650 NM 2 8 459.48 675.44 390.23 137.107 0.000 0.379 3
0000000039 2020 8 7 23 6 48.930 36.49222 -81.17749 -0.007 1.45 5 20 631.46 968.09 0.00 337.349 0.000 0.428 3
0000000053 2020 8 8 12 35 23.615 36.46557 -81.09228 8.682 1.48 55 279 145.19 275.42 654.18 26.954 0.000 0.415 3
0000000054 2020 8 8 12 37 6.510 36.45937 -81.07979 11.808 1.66 2 8 556.63 616.93 503.46 142.727 0.000 0.106 3
0000000055 2020 8 8 12 38 37.954 36.45903 -81.07995 12.246 NM 2 8 381.66 532.19 915.62 148.242 0.000 0.106 3
0000000057 2020 8 8 13 21 59.537 36.49065 -81.09418 6.716 0.59 16 84 675.14 557.27 626.64 131.322 0.000 0.667 3
0000000064 2020 8 8 19 16 57.905 36.49528 -81.12440 15.746 0.70 8 36 561.87 557.65 931.24 110.023 0.000 0.584 3
0000000066 2020 8 8 20 42 30.861 36.47891 -81.11566 0.593 1.83 73 408 108.67 83.57 640.61 16.983 0.000 0.417 3
0000000067 2020 8 8 23 49 5.488 36.48813 -81.09450 16.556 NM 3 16 693.56 680.98 449.41 153.507 0.000 0.463 3
0000000068 2020 8 9 0 23 2.780 36.45812 -81.07725 14.166 NM 6 24 829.18 791.85 0.00 150.425 0.000 0.372 3
0000000070 2020 8 9 0 33 52.571 36.47701 -81.10813 -0.007 0.17 10 48 750.81 732.01 453.10 224.457 0.000 0.926 3
0000000072 2020 8 9 4 43 40.175 36.48219 -81.09418 0.992 1.72 87 737 122.22 167.27 621.42 25.452 0.000 0.496 3
0000000073 2020 8 9 5 57 16.554 36.47807 -81.10296 3.479 3.23 96 871 48.43 102.02 488.11 11.721 0.000 0.452 3
0000000074 2020 8 9 6 2 16.183 36.48373 -81.09420 16.556 1.96 73 429 79.06 104.66 94.60 17.794 0.000 0.368 3
0000000076 2020 8 9 6 6 55.721 36.47731 -81.10278 6.627 2.15 89 766 161.93 138.91 512.30 25.086 0.000 0.428 3
0000000078 2020 8 9 8 47 2.546 36.48957 -81.11111 1.974 NM 7 33 859.78 674.60 775.10 286.821 0.000 0.929 3
0000000080 2020 8 9 11 40 8.133 36.50550 -81.00520 0.005 NM 2 8 599.13 759.14 493.85 239.524 0.000 0.697 3
0000000083 2020 8 9 12 7 37.630 36.48032 -81.09938 5.427 5.10 64 568 128.61 236.94 476.05 28.139 0.000 0.507 3
0000000102 2020 8 9 12 28 2.439 36.47610 -81.08391 5.145 0.75 11 57 716.27 548.30 674.05 126.012 0.000 0.794 3
